 lo;la;aId;aCIId;t;cId 
 10.7266601;59.9298647;213140;213145;Fagerborggaten barnehage;56317 
 10.8669334;59.9229417;210333;210338;Fagerholt barnehage;55916 
 10.7645736;59.9411873;213056;213061;Familiens Hus;56305 
 10.7123479;59.9248585;220481;220486;Familietreffen åpen barnehage ;58514 
 10.7856383;59.8557964;280280;280285;Fantorangen familiebarnehage;71910 
 10.7808176;59.8418303;212811;212816;Fiskevollen musikkbarnehage;56270 
 10.7939102;59.8326384;213574;213579;Fjeldlund barnehage;56379 
 10.7598386;59.8686072;218886;218891;Fjordgløtt familiebarnehage;58206 
 10.8727801;59.9535416;211502;211507;Flaen barnehage;56083 
 10.6408263;59.9549359;214323;214328;Fossekallen barnehage;56486 
 10.9174513;59.9590781;213420;213425;Fossum barnehage;56357 
 10.6598389;59.9515632;214120;214125;Frantsebråten barnehage;56457 
 10.7060026;59.9218462;239475;239479;Fredrikke barnehage ;62507 
 10.6875048;59.9030685;210844;210849;Fredriksborg familiebarnehage;55989 
 10.8150265;59.9174267;210459;210464;Frelsesarmeens barnehager, avd. Regnbuen;55934 
 10.7166711;59.9239101;210851;210856;Fridheim barnehage;55990 
 10.7920552;59.9070825;211138;211143;Fridtjovsgate barnehage;56031 
 10.7743653;59.8889552;212503;212508;Frierveien barnehage;56226 
 10.7160493;59.9348132;210858;210863;Friggfeltet barnehage;55991 
 10.7124507;59.9249353;210865;210870;Frogner barnehage;55992 
 10.7053288;59.9169506;210879;210884;Frogner internasjonale førskole;55994 
 10.7081416;59.9309259;210872;210877;Frognerbekken barnehage;55993 
 10.6991428;59.9159034;210886;210891;Frognerkilen barnehage;55995 
 10.6761615;59.9772230;248068;248073;Frognerseteren friluftsbarnehage AS;64903 
 10.7468519;59.9220303;213119;213124;Fryd barnehage;56314 
 10.9135720;59.9376138;210123;210128;Frydenlund barnehage;55886 
 10.6705893;59.9564481;214547;214552;Fuglekongen familiebarnehage;56518 
 10.8478975;59.8990681;214815;214820;Fuglemyra barnehage;56551 
 10.8872171;59.9296501;210130;210135;Furua barnehage;55887 
 10.8080455;59.9052101;220044;220049;Furua familiebarnehage;58433 
 10.7863706;59.9608855;212055;212060;Furulunden barnehage;56162 
 10.8893895;59.9427683;210291;210296;Furuset SMART språktilbud;55910 
 10.8953759;59.9408781;210298;210303;Furustien barnehage;55911 
 10.8063718;59.9045723;215067;215072;Furuveien familiebarnehage;56587 
 10.7943316;59.9152566;211145;211150;Fyrstikkalleen barnehage;56032 
 10.7023191;59.9144695;281680;281685;Fyrtårnet familiebarnehage;72084 
 10.7593675;59.9190351;216486;216491;Gaia barnehus;57480 
 10.7414582;59.9251200;213210;213215;Gamle Aker menighetsbarnehage;56327 
 10.7672938;59.9054163;211313;211318;Gamlebyen barnehage;56056 
 10.7193229;59.9493725;212062;212067;Gaustadsnippen barnehage;56163 
 10.6887432;59.9429213;214330;214335;Giske barnehage;56487 
