 lo;la;Name 
 10.8669334;59.9229417;Fagerholt barnehage;55916 
 10.7645736;59.9411873;Familiens Hus;56305 
 10.7123479;59.9248585;Familietreffen åpen barnehage ;58514 
 10.7856383;59.8557964;Fantorangen familiebarnehage;71910 
 10.7808176;59.8418303;Fiskevollen musikkbarnehage;56270 
 10.7939102;59.8326384;Fjeldlund barnehage;56379 
 10.7598386;59.8686072;Fjordgløtt familiebarnehage;58206 
 10.8727801;59.9535416;Flaen barnehage;56083 
 10.6408263;59.9549359;Fossekallen barnehage;56486 
 10.9174513;59.9590781;Fossum barnehage;56357 
 10.6598389;59.9515632;Frantsebråten barnehage;56457 
 10.7060026;59.9218462;Fredrikke barnehage ;62507 
 10.6875048;59.9030685;Fredriksborg familiebarnehage;55989 
 10.8150265;59.9174267;Frelsesarmeens barnehager, avd. Regnbuen;55934 
 10.7166711;59.9239101;Fridheim barnehage;55990 
 10.7920552;59.9070825;Fridtjovsgate barnehage;56031 
 10.7743653;59.8889552;Frierveien barnehage;56226 
 10.7160493;59.9348132;Friggfeltet barnehage;55991 
 10.7124507;59.9249353;Frogner barnehage;55992 
 10.7053288;59.9169506;Frogner internasjonale førskole;55994 
 10.7081416;59.9309259;Frognerbekken barnehage;55993 
 10.6991428;59.9159034;Frognerkilen barnehage;55995 
 10.6761615;59.9772230;Frognerseteren friluftsbarnehage AS;64903 
 10.7468519;59.9220303;Fryd barnehage;56314 
 10.9135720;59.9376138;Frydenlund barnehage;55886 
 10.6705893;59.9564481;Fuglekongen familiebarnehage;56518 
 10.8478975;59.8990681;Fuglemyra barnehage;56551 
 10.8872171;59.9296501;Furua barnehage;55887 
 10.8080455;59.9052101;Furua familiebarnehage;58433 
 10.7863706;59.9608855;Furulunden barnehage;56162 
 10.8893895;59.9427683;Furuset SMART språktilbud;55910 
 10.8953759;59.9408781;Furustien barnehage;55911 
 10.8063718;59.9045723;Furuveien familiebarnehage;56587 
 10.7943316;59.9152566;Fyrstikkalleen barnehage;56032 
 10.7023191;59.9144695;Fyrtårnet familiebarnehage;72084 
 10.7593675;59.9190351;Gaia barnehus;57480 
 10.7414582;59.9251200;Gamle Aker menighetsbarnehage;56327 
 10.7672938;59.9054163;Gamlebyen barnehage;56056 
 10.7193229;59.9493725;Gaustadsnippen barnehage;56163 
 10.6887432;59.9429213;Giske barnehage;56487 
 10.7084139;59.9389286;Gjøkungen familiebarnehage;56519 
 10.8386964;59.9086014;Godlia barnehage;56576 
 10.8464729;59.9106022;Goliaskogen barnehage;56552 
 10.8976526;59.9444914;Gran barnehage;55907 
 10.9010107;59.9461760;Gransbakken barnehage;55905 
 10.9000197;59.9450596;Gransletta barnehage;55903 
 10.8001549;59.8831004;Granstua familiebarnehage;58208 
 10.7766764;59.9547846;Grefsen menighetsbarnehage;56165 
 10.7956326;59.9533229;Grefsenlyst FUS barnehage AS;56164 
 10.7878708;59.9465471;Grefsentunet barnehage;56140 
 10.8601059;59.9551774;Grei korttidsbarnehage;56085 
 10.7019370;59.9530865;Grimelund familiebarnehage avd. Tennisveien;56531 
 10.6475136;59.9673596;Grindbakken barnehage;56458 
 10.8781258;59.9625920;Grorud barnehage;56091 
 10.7560143;59.9220923;Grünerhagen barnehage;56119 
 10.7776741;59.9323197;Grünerløkka åpen barnehage;56110 
 10.7619944;59.9149567;Grønland barnehage;56057 
 10.7598696;59.9129461;Grønland torg barnehage;56034 
 10.7300269;59.9205505;Grønneberg barnehage;55996 
